# Path 1 Evidence Run Queue
# Format: run_id,symbol,date_start,date_end
# - run_id: unique identifier (p1_YYYYMMDD_SEQ)
# - symbol: trading pair (e.g., GBPUSD)
# - date_start: requested start date (YYYY-MM-DD)
# - date_end: requested end date (YYYY-MM-DD)
#
# Substitution: If requested range has 0 rows, runner will substitute
# with nearest non-overlapping 5-day weekday range.
#
# Existing completed runs (DO NOT RE-QUEUE):
# - Run 001 actual: 2024-01-08 to 2024-01-12
# - Run 002 actual: 2023-12-18 to 2023-12-22
# - Run 003 actual: 2023-12-11 to 2023-12-15
#
run_id,symbol,date_start,date_end
p1_20260120_004,GBPUSD,2023-12-04,2023-12-08
p1_20260120_005,GBPUSD,2023-11-27,2023-12-01
p1_20260120_006,GBPUSD,2023-11-20,2023-11-24
p1_20260120_007,GBPUSD,2023-11-13,2023-11-17
p1_20260120_008,GBPUSD,2023-11-06,2023-11-10
p1_20260120_009,GBPUSD,2023-10-30,2023-11-03
p1_20260120_010,GBPUSD,2023-10-23,2023-10-27
p1_20260120_011,GBPUSD,2023-10-16,2023-10-20
p1_20260120_012,GBPUSD,2023-10-09,2023-10-13
