idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T04:00:00Z,1670904000000,1670904900000,1.22592,1.22604,1.22564,1.22578,1560
2,2022-12-13T04:15:00Z,1670904900000,1670905800000,1.22578,1.22602,1.2252,1.22596,1434
3,2022-12-13T04:30:00Z,1670905800000,1670906700000,1.22596,1.22618,1.22574,1.22604,1096
4,2022-12-13T04:45:00Z,1670906700000,1670907600000,1.22603,1.22688,1.22593,1.22682,1191
5,2022-12-13T05:00:00Z,1670907600000,1670908500000,1.2268,1.22709,1.22661,1.2267,1217
6,2022-12-13T05:15:00Z,1670908500000,1670909400000,1.22673,1.227,1.2265,1.2269,1296
7,2022-12-13T05:30:00Z,1670909400000,1670910300000,1.2269,1.22748,1.22678,1.22742,1900
8,2022-12-13T05:45:00Z,1670910300000,1670911200000,1.22741,1.22825,1.2272,1.22816,1873
