idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T06:00:00Z,1670824800000,1670825700000,1.22271,1.22297,1.2224,1.22274,1168
2,2022-12-12T06:15:00Z,1670825700000,1670826600000,1.22274,1.22282,1.22205,1.2224,1869
3,2022-12-12T06:30:00Z,1670826600000,1670827500000,1.22242,1.22316,1.22234,1.22306,1694
4,2022-12-12T06:45:00Z,1670827500000,1670828400000,1.22307,1.22376,1.22251,1.2227,2233
5,2022-12-12T07:00:00Z,1670828400000,1670829300000,1.22276,1.22364,1.2207,1.22282,3499
6,2022-12-12T07:15:00Z,1670829300000,1670830200000,1.2228,1.2239,1.22236,1.22351,2211
7,2022-12-12T07:30:00Z,1670830200000,1670831100000,1.2235,1.22474,1.22311,1.2244,2498
8,2022-12-12T07:45:00Z,1670831100000,1670832000000,1.22438,1.22601,1.22436,1.22571,2229
