idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T08:00:00Z,1671004800000,1671005700000,1.23642,1.23674,1.23525,1.23642,3606
2,2022-12-14T08:15:00Z,1671005700000,1671006600000,1.23644,1.23789,1.2362,1.23654,2995
3,2022-12-14T08:30:00Z,1671006600000,1671007500000,1.23654,1.23797,1.23652,1.23666,2972
4,2022-12-14T08:45:00Z,1671007500000,1671008400000,1.23662,1.23816,1.23649,1.2371,2923
5,2022-12-14T09:00:00Z,1671008400000,1671009300000,1.2371,1.23825,1.23664,1.23768,3253
6,2022-12-14T09:15:00Z,1671009300000,1671010200000,1.23769,1.23955,1.23748,1.23936,3641
7,2022-12-14T09:30:00Z,1671010200000,1671011100000,1.23934,1.24036,1.23864,1.23996,3687
8,2022-12-14T09:45:00Z,1671011100000,1671012000000,1.23996,1.24026,1.23912,1.23936,2768
