idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T02:00:00Z,1670810400000,1670811300000,1.22226,1.22226,1.22176,1.22195,2208
2,2022-12-12T02:15:00Z,1670811300000,1670812200000,1.22195,1.22203,1.22124,1.22155,1642
3,2022-12-12T02:30:00Z,1670812200000,1670813100000,1.22155,1.22294,1.22152,1.22272,1983
4,2022-12-12T02:45:00Z,1670813100000,1670814000000,1.22275,1.22294,1.22206,1.22225,1573
5,2022-12-12T03:00:00Z,1670814000000,1670814900000,1.22226,1.22276,1.22206,1.2223,1181
6,2022-12-12T03:15:00Z,1670814900000,1670815800000,1.22228,1.22265,1.22208,1.22264,1269
7,2022-12-12T03:30:00Z,1670815800000,1670816700000,1.22264,1.22303,1.22247,1.2226,1437
8,2022-12-12T03:45:00Z,1670816700000,1670817600000,1.22259,1.22304,1.2225,1.22304,1269
