idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T06:00:00Z,1670997600000,1670998500000,1.2355,1.23632,1.23549,1.23618,1794
2,2022-12-14T06:15:00Z,1670998500000,1670999400000,1.23616,1.23681,1.2361,1.23642,2329
3,2022-12-14T06:30:00Z,1670999400000,1671000300000,1.23642,1.23717,1.23639,1.23702,1806
4,2022-12-14T06:45:00Z,1671000300000,1671001200000,1.23701,1.23748,1.23668,1.23693,1909
5,2022-12-14T07:00:00Z,1671001200000,1671002100000,1.23693,1.23727,1.23532,1.23555,3261
6,2022-12-14T07:15:00Z,1671002100000,1671003000000,1.23557,1.2359,1.23491,1.235,3478
7,2022-12-14T07:30:00Z,1671003000000,1671003900000,1.23504,1.23548,1.2344,1.23502,2369
8,2022-12-14T07:45:00Z,1671003900000,1671004800000,1.23502,1.2365,1.23425,1.23641,2249
