idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T04:00:00Z,1670990400000,1670991300000,1.23526,1.23566,1.23519,1.23566,1299
2,2022-12-14T04:15:00Z,1670991300000,1670992200000,1.23564,1.23566,1.23471,1.23497,1278
3,2022-12-14T04:30:00Z,1670992200000,1670993100000,1.23496,1.23512,1.23435,1.23472,1371
4,2022-12-14T04:45:00Z,1670993100000,1670994000000,1.23472,1.23497,1.2345,1.23481,1325
5,2022-12-14T05:00:00Z,1670994000000,1670994900000,1.23477,1.2357,1.23473,1.23558,1701
6,2022-12-14T05:15:00Z,1670994900000,1670995800000,1.23558,1.23596,1.23558,1.23581,1224
7,2022-12-14T05:30:00Z,1670995800000,1670996700000,1.23582,1.23595,1.23542,1.23582,1436
8,2022-12-14T05:45:00Z,1670996700000,1670997600000,1.23586,1.23592,1.23521,1.2355,1879
