idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T16:00:00Z,1670860800000,1670861700000,1.22531,1.22579,1.22424,1.22458,2950
2,2022-12-12T16:15:00Z,1670861700000,1670862600000,1.22459,1.22641,1.2243,1.22638,2351
3,2022-12-12T16:30:00Z,1670862600000,1670863500000,1.22641,1.2274,1.22594,1.22692,2500
4,2022-12-12T16:45:00Z,1670863500000,1670864400000,1.22693,1.22883,1.22686,1.22828,2319
5,2022-12-12T17:00:00Z,1670864400000,1670865300000,1.22828,1.22884,1.2279,1.2281,2232
6,2022-12-12T17:15:00Z,1670865300000,1670866200000,1.2281,1.2285,1.22762,1.22792,1993
7,2022-12-12T17:30:00Z,1670866200000,1670867100000,1.22792,1.2282,1.22667,1.2268,2078
8,2022-12-12T17:45:00Z,1670867100000,1670868000000,1.22682,1.22846,1.2268,1.22826,1807
