idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T02:00:00Z,1670983200000,1670984100000,1.23517,1.2356,1.23482,1.23512,2135
2,2022-12-14T02:15:00Z,1670984100000,1670985000000,1.23508,1.23554,1.2347,1.23516,1916
3,2022-12-14T02:30:00Z,1670985000000,1670985900000,1.2352,1.23529,1.23456,1.23459,1526
4,2022-12-14T02:45:00Z,1670985900000,1670986800000,1.2346,1.23488,1.23445,1.23477,1579
5,2022-12-14T03:00:00Z,1670986800000,1670987700000,1.23477,1.23515,1.23472,1.23488,1735
6,2022-12-14T03:15:00Z,1670987700000,1670988600000,1.23491,1.23514,1.23471,1.23508,1392
7,2022-12-14T03:30:00Z,1670988600000,1670989500000,1.23502,1.23569,1.23495,1.23554,1138
8,2022-12-14T03:45:00Z,1670989500000,1670990400000,1.23555,1.23579,1.23512,1.23527,1776
