idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T10:00:00Z,1670925600000,1670926500000,1.22744,1.22746,1.2261,1.22708,3298
2,2022-12-13T10:15:00Z,1670926500000,1670927400000,1.22708,1.22926,1.22698,1.22876,2510
3,2022-12-13T10:30:00Z,1670927400000,1670928300000,1.22875,1.22938,1.22802,1.22826,2485
4,2022-12-13T10:45:00Z,1670928300000,1670929200000,1.22828,1.22862,1.22772,1.22802,2145
5,2022-12-13T11:00:00Z,1670929200000,1670930100000,1.22802,1.22904,1.22734,1.22891,2287
6,2022-12-13T11:15:00Z,1670930100000,1670931000000,1.22892,1.23004,1.22861,1.22954,2144
7,2022-12-13T11:30:00Z,1670931000000,1670931900000,1.22954,1.23012,1.22928,1.22939,1901
8,2022-12-13T11:45:00Z,1670931900000,1670932800000,1.22938,1.23029,1.22892,1.22906,2607
