idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T18:00:00Z,1671040800000,1671041700000,1.2419,1.24266,1.24185,1.24264,1667
2,2022-12-14T18:15:00Z,1671041700000,1671042600000,1.24262,1.24304,1.24251,1.24259,1865
3,2022-12-14T18:30:00Z,1671042600000,1671043500000,1.24258,1.24452,1.24254,1.2433,2516
4,2022-12-14T18:45:00Z,1671043500000,1671044400000,1.24324,1.24392,1.2431,1.24362,2720
5,2022-12-14T19:00:00Z,1671044400000,1671045300000,1.24362,1.24362,1.23626,1.2378,8963
6,2022-12-14T19:15:00Z,1671045300000,1671046200000,1.23776,1.23894,1.23716,1.23825,7378
7,2022-12-14T19:30:00Z,1671046200000,1671047100000,1.23821,1.24116,1.23445,1.2388,10472
8,2022-12-14T19:45:00Z,1671047100000,1671048000000,1.23876,1.24114,1.23674,1.24035,9032
