idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T14:00:00Z,1670853600000,1670854500000,1.22928,1.22948,1.22876,1.22896,2451
2,2022-12-12T14:15:00Z,1670854500000,1670855400000,1.22897,1.22946,1.22842,1.22846,2190
3,2022-12-12T14:30:00Z,1670855400000,1670856300000,1.22846,1.22856,1.22567,1.226,3077
4,2022-12-12T14:45:00Z,1670856300000,1670857200000,1.22597,1.22784,1.22594,1.2271,2689
5,2022-12-12T15:00:00Z,1670857200000,1670858100000,1.22712,1.2299,1.22596,1.22946,3502
6,2022-12-12T15:15:00Z,1670858100000,1670859000000,1.22944,1.22959,1.22814,1.22856,2760
7,2022-12-12T15:30:00Z,1670859000000,1670859900000,1.22859,1.22942,1.22756,1.22837,2766
8,2022-12-12T15:45:00Z,1670859900000,1670860800000,1.22838,1.22838,1.22502,1.22532,3767
