idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T16:00:00Z,1670947200000,1670948100000,1.23941,1.24147,1.23908,1.24139,3532
2,2022-12-13T16:15:00Z,1670948100000,1670949000000,1.24138,1.24148,1.23742,1.2389,3755
3,2022-12-13T16:30:00Z,1670949000000,1670949900000,1.23892,1.23924,1.23744,1.2377,3136
4,2022-12-13T16:45:00Z,1670949900000,1670950800000,1.2377,1.23833,1.23642,1.23734,4245
5,2022-12-13T17:00:00Z,1670950800000,1670951700000,1.23734,1.23828,1.237,1.23777,3827
6,2022-12-13T17:15:00Z,1670951700000,1670952600000,1.23775,1.2378,1.2362,1.23701,4200
7,2022-12-13T17:30:00Z,1670952600000,1670953500000,1.23699,1.2374,1.23592,1.23614,3776
8,2022-12-13T17:45:00Z,1670953500000,1670954400000,1.23614,1.23702,1.23518,1.23669,4149
