idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T04:00:00Z,1670817600000,1670818500000,1.22302,1.22354,1.22278,1.22344,1190
2,2022-12-12T04:15:00Z,1670818500000,1670819400000,1.22348,1.2235,1.22308,1.22328,1288
3,2022-12-12T04:30:00Z,1670819400000,1670820300000,1.22329,1.22384,1.2232,1.2235,1066
4,2022-12-12T04:45:00Z,1670820300000,1670821200000,1.22351,1.22376,1.22318,1.22318,997
5,2022-12-12T05:00:00Z,1670821200000,1670822100000,1.22317,1.22337,1.2222,1.2226,1599
6,2022-12-12T05:15:00Z,1670822100000,1670823000000,1.2227,1.22289,1.22246,1.2228,1100
7,2022-12-12T05:30:00Z,1670823000000,1670823900000,1.2228,1.22308,1.22268,1.22287,1314
8,2022-12-12T05:45:00Z,1670823900000,1670824800000,1.22289,1.223,1.2224,1.2227,1436
