idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T16:00:00Z,1671033600000,1671034500000,1.24034,1.24096,1.23934,1.24086,2838
2,2022-12-14T16:15:00Z,1671034500000,1671035400000,1.24084,1.24221,1.2406,1.24203,2252
3,2022-12-14T16:30:00Z,1671035400000,1671036300000,1.24202,1.24216,1.24092,1.24213,2552
4,2022-12-14T16:45:00Z,1671036300000,1671037200000,1.24214,1.24231,1.24068,1.24077,2425
5,2022-12-14T17:00:00Z,1671037200000,1671038100000,1.24077,1.24149,1.24042,1.24149,2268
6,2022-12-14T17:15:00Z,1671038100000,1671039000000,1.24149,1.24238,1.24112,1.24179,2054
7,2022-12-14T17:30:00Z,1671039000000,1671039900000,1.24175,1.24222,1.24142,1.24162,2694
8,2022-12-14T17:45:00Z,1671039900000,1671040800000,1.24164,1.24214,1.2415,1.2419,1699
