idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T20:00:00Z,1670961600000,1670962500000,1.2373,1.2373,1.23591,1.23626,3098
2,2022-12-13T20:15:00Z,1670962500000,1670963400000,1.23626,1.23767,1.23614,1.23757,3111
3,2022-12-13T20:30:00Z,1670963400000,1670964300000,1.23758,1.23788,1.23626,1.23634,2370
4,2022-12-13T20:45:00Z,1670964300000,1670965200000,1.23634,1.23696,1.2359,1.2359,2762
5,2022-12-13T21:00:00Z,1670965200000,1670966100000,1.2359,1.23688,1.2359,1.23658,1429
6,2022-12-13T21:15:00Z,1670966100000,1670967000000,1.23655,1.23686,1.23608,1.23623,869
7,2022-12-13T21:30:00Z,1670967000000,1670967900000,1.23623,1.23644,1.23614,1.2364,755
8,2022-12-13T21:45:00Z,1670967900000,1670968800000,1.2364,1.23681,1.23639,1.23654,417
