idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T22:00:00Z,1670968800000,1670969700000,1.23681,1.2369,1.2365,1.2365,87
2,2022-12-13T22:15:00Z,1670969700000,1670970600000,1.23684,1.23764,1.23684,1.23734,1077
3,2022-12-13T22:30:00Z,1670970600000,1670971500000,1.2373,1.23732,1.23663,1.23666,1618
4,2022-12-13T22:45:00Z,1670971500000,1670972400000,1.23666,1.23689,1.2366,1.23678,121
5,2022-12-13T23:00:00Z,1670972400000,1670973300000,1.23684,1.23744,1.2358,1.23583,1302
6,2022-12-13T23:15:00Z,1670973300000,1670974200000,1.23582,1.23608,1.23541,1.23561,1435
7,2022-12-13T23:30:00Z,1670974200000,1670975100000,1.23562,1.23602,1.23562,1.23584,1044
8,2022-12-13T23:45:00Z,1670975100000,1670976000000,1.23584,1.23594,1.23543,1.23546,705
