idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T10:00:00Z,1670839200000,1670840100000,1.22747,1.22812,1.22689,1.2272,2374
2,2022-12-12T10:15:00Z,1670840100000,1670841000000,1.22722,1.22768,1.22686,1.22754,1958
3,2022-12-12T10:30:00Z,1670841000000,1670841900000,1.22754,1.22962,1.22738,1.22874,1766
4,2022-12-12T10:45:00Z,1670841900000,1670842800000,1.22874,1.22885,1.22817,1.22856,1838
5,2022-12-12T11:00:00Z,1670842800000,1670843700000,1.22855,1.22893,1.22782,1.22843,2191
6,2022-12-12T11:15:00Z,1670843700000,1670844600000,1.22844,1.22902,1.22814,1.22826,1738
7,2022-12-12T11:30:00Z,1670844600000,1670845500000,1.22826,1.22924,1.22812,1.22922,1730
8,2022-12-12T11:45:00Z,1670845500000,1670846400000,1.22921,1.22924,1.22762,1.22766,2077
