idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T02:00:00Z,1670896800000,1670897700000,1.22764,1.22788,1.22737,1.22748,2411
2,2022-12-13T02:15:00Z,1670897700000,1670898600000,1.22747,1.22786,1.2274,1.22765,1463
3,2022-12-13T02:30:00Z,1670898600000,1670899500000,1.22764,1.22908,1.22764,1.2286,1589
4,2022-12-13T02:45:00Z,1670899500000,1670900400000,1.2286,1.22862,1.2275,1.22758,1374
5,2022-12-13T03:00:00Z,1670900400000,1670901300000,1.22758,1.2277,1.22702,1.22722,2123
6,2022-12-13T03:15:00Z,1670901300000,1670902200000,1.22722,1.22722,1.22629,1.2266,1738
7,2022-12-13T03:30:00Z,1670902200000,1670903100000,1.22658,1.22674,1.22632,1.22633,2143
8,2022-12-13T03:45:00Z,1670903100000,1670904000000,1.22634,1.22638,1.22556,1.22592,1652
