idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T14:00:00Z,1670940000000,1670940900000,1.2411,1.24386,1.24068,1.2437,6575
2,2022-12-13T14:15:00Z,1670940900000,1670941800000,1.24366,1.2444,1.24244,1.24289,6179
3,2022-12-13T14:30:00Z,1670941800000,1670942700000,1.24292,1.24324,1.24001,1.24204,6236
4,2022-12-13T14:45:00Z,1670942700000,1670943600000,1.24204,1.24372,1.24162,1.24201,5883
5,2022-12-13T15:00:00Z,1670943600000,1670944500000,1.24204,1.24222,1.2397,1.24068,5178
6,2022-12-13T15:15:00Z,1670944500000,1670945400000,1.24068,1.24075,1.23878,1.23903,5404
7,2022-12-13T15:30:00Z,1670945400000,1670946300000,1.23902,1.24044,1.23791,1.2391,5627
8,2022-12-13T15:45:00Z,1670946300000,1670947200000,1.23912,1.24002,1.23782,1.23937,4993
