idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T22:00:00Z,1670882400000,1670883300000,1.22688,1.22728,1.22659,1.22684,232
2,2022-12-12T22:15:00Z,1670883300000,1670884200000,1.22686,1.22688,1.22658,1.2267,1057
3,2022-12-12T22:30:00Z,1670884200000,1670885100000,1.22669,1.22678,1.2266,1.22672,122
4,2022-12-12T22:45:00Z,1670885100000,1670886000000,1.2267,1.2267,1.22638,1.22638,103
5,2022-12-12T23:00:00Z,1670886000000,1670886900000,1.22612,1.2269,1.22588,1.22688,323
6,2022-12-12T23:15:00Z,1670886900000,1670887800000,1.22688,1.22702,1.22673,1.22682,624
7,2022-12-12T23:30:00Z,1670887800000,1670888700000,1.22682,1.22697,1.22662,1.22678,493
8,2022-12-12T23:45:00Z,1670888700000,1670889600000,1.22675,1.22724,1.2267,1.22691,769
