idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T00:00:00Z,1670889600000,1670890500000,1.2269,1.22753,1.2268,1.22704,1195
2,2022-12-13T00:15:00Z,1670890500000,1670891400000,1.22704,1.2272,1.22631,1.22664,1414
3,2022-12-13T00:30:00Z,1670891400000,1670892300000,1.22666,1.22759,1.22658,1.22758,1776
4,2022-12-13T00:45:00Z,1670892300000,1670893200000,1.22758,1.22772,1.22688,1.22754,2032
5,2022-12-13T01:00:00Z,1670893200000,1670894100000,1.22754,1.22782,1.22718,1.22772,1908
6,2022-12-13T01:15:00Z,1670894100000,1670895000000,1.22772,1.22781,1.22723,1.22726,2343
7,2022-12-13T01:30:00Z,1670895000000,1670895900000,1.22725,1.22761,1.22674,1.2275,2331
8,2022-12-13T01:45:00Z,1670895900000,1670896800000,1.22752,1.22793,1.22741,1.22764,2471
