idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T18:00:00Z,1670954400000,1670955300000,1.2367,1.23708,1.23592,1.23646,3545
2,2022-12-13T18:15:00Z,1670955300000,1670956200000,1.2365,1.23777,1.23646,1.23744,3522
3,2022-12-13T18:30:00Z,1670956200000,1670957100000,1.23744,1.23792,1.23557,1.236,3227
4,2022-12-13T18:45:00Z,1670957100000,1670958000000,1.236,1.236,1.23455,1.23495,2846
5,2022-12-13T19:00:00Z,1670958000000,1670958900000,1.23494,1.23588,1.23481,1.2358,2880
6,2022-12-13T19:15:00Z,1670958900000,1670959800000,1.23582,1.23664,1.23542,1.2365,2639
7,2022-12-13T19:30:00Z,1670959800000,1670960700000,1.2365,1.23807,1.23613,1.23792,2853
8,2022-12-13T19:45:00Z,1670960700000,1670961600000,1.2379,1.23814,1.23662,1.2373,2879
