idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T06:00:00Z,1670911200000,1670912100000,1.22816,1.22858,1.22786,1.22858,1375
2,2022-12-13T06:15:00Z,1670912100000,1670913000000,1.22856,1.22908,1.22831,1.22854,1344
3,2022-12-13T06:30:00Z,1670913000000,1670913900000,1.22856,1.22874,1.22834,1.2287,1589
4,2022-12-13T06:45:00Z,1670913900000,1670914800000,1.2287,1.22886,1.22772,1.22775,1631
5,2022-12-13T07:00:00Z,1670914800000,1670915700000,1.2279,1.23018,1.22777,1.22892,2118
6,2022-12-13T07:15:00Z,1670915700000,1670916600000,1.22894,1.22949,1.22832,1.2292,2245
7,2022-12-13T07:30:00Z,1670916600000,1670917500000,1.2292,1.23036,1.22902,1.22948,2623
8,2022-12-13T07:45:00Z,1670917500000,1670918400000,1.22947,1.22952,1.22815,1.22844,2740
