idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T12:00:00Z,1671019200000,1671020100000,1.23732,1.23842,1.23701,1.23824,2630
2,2022-12-14T12:15:00Z,1671020100000,1671021000000,1.23824,1.23886,1.23797,1.23822,1926
3,2022-12-14T12:30:00Z,1671021000000,1671021900000,1.23824,1.23882,1.2364,1.23657,2492
4,2022-12-14T12:45:00Z,1671021900000,1671022800000,1.23659,1.23674,1.23582,1.23642,2258
5,2022-12-14T13:00:00Z,1671022800000,1671023700000,1.23644,1.23706,1.23604,1.23652,2292
6,2022-12-14T13:15:00Z,1671023700000,1671024600000,1.23656,1.23696,1.23552,1.2356,1882
7,2022-12-14T13:30:00Z,1671024600000,1671025500000,1.2356,1.23772,1.2356,1.23772,2417
8,2022-12-14T13:45:00Z,1671025500000,1671026400000,1.23768,1.23798,1.23637,1.23718,3054
