idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-11T22:00:00Z,1670796000000,1670796900000,1.22593,1.22608,1.22549,1.22554,32
2,2022-12-11T22:15:00Z,1670796900000,1670797800000,1.22558,1.22683,1.22556,1.22648,119
3,2022-12-11T22:30:00Z,1670797800000,1670798700000,1.22646,1.22647,1.22598,1.22598,87
4,2022-12-11T22:45:00Z,1670798700000,1670799600000,1.22598,1.22606,1.22594,1.22602,176
5,2022-12-11T23:00:00Z,1670799600000,1670800500000,1.226,1.2262,1.2244,1.22461,800
6,2022-12-11T23:15:00Z,1670800500000,1670801400000,1.22462,1.22474,1.22416,1.2242,835
7,2022-12-11T23:30:00Z,1670801400000,1670802300000,1.22419,1.22458,1.22408,1.22434,809
8,2022-12-11T23:45:00Z,1670802300000,1670803200000,1.22434,1.2244,1.2233,1.22354,710
