idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T10:00:00Z,1671012000000,1671012900000,1.2394,1.24044,1.23798,1.23916,4183
2,2022-12-14T10:15:00Z,1671012900000,1671013800000,1.23915,1.2403,1.23841,1.24008,3041
3,2022-12-14T10:30:00Z,1671013800000,1671014700000,1.24006,1.24012,1.23841,1.23858,2718
4,2022-12-14T10:45:00Z,1671014700000,1671015600000,1.23858,1.2401,1.23832,1.23924,2819
5,2022-12-14T11:00:00Z,1671015600000,1671016500000,1.23926,1.24034,1.23784,1.23796,2922
6,2022-12-14T11:15:00Z,1671016500000,1671017400000,1.23798,1.23889,1.23754,1.23875,2952
7,2022-12-14T11:30:00Z,1671017400000,1671018300000,1.23874,1.23898,1.2374,1.2378,2137
8,2022-12-14T11:45:00Z,1671018300000,1671019200000,1.23782,1.23839,1.23692,1.23734,2213
