idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T14:00:00Z,1671026400000,1671027300000,1.23716,1.23767,1.23589,1.23636,3529
2,2022-12-14T14:15:00Z,1671027300000,1671028200000,1.23636,1.23698,1.23604,1.23664,2892
3,2022-12-14T14:30:00Z,1671028200000,1671029100000,1.23664,1.23884,1.23589,1.23871,4704
4,2022-12-14T14:45:00Z,1671029100000,1671030000000,1.23872,1.2391,1.23802,1.2385,3335
5,2022-12-14T15:00:00Z,1671030000000,1671030900000,1.2385,1.23996,1.23786,1.2393,3488
6,2022-12-14T15:15:00Z,1671030900000,1671031800000,1.23926,1.24083,1.23908,1.24082,3088
7,2022-12-14T15:30:00Z,1671031800000,1671032700000,1.24082,1.24094,1.23933,1.24052,3266
8,2022-12-14T15:45:00Z,1671032700000,1671033600000,1.24052,1.2417,1.24004,1.24031,3176
