idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T20:00:00Z,1670875200000,1670876100000,1.2258,1.22652,1.2257,1.22608,1634
2,2022-12-12T20:15:00Z,1670876100000,1670877000000,1.22606,1.22692,1.22596,1.22642,1626
3,2022-12-12T20:30:00Z,1670877000000,1670877900000,1.22642,1.22733,1.22638,1.22687,1678
4,2022-12-12T20:45:00Z,1670877900000,1670878800000,1.22686,1.22724,1.22669,1.22712,1339
5,2022-12-12T21:00:00Z,1670878800000,1670879700000,1.22708,1.22731,1.22686,1.2269,741
6,2022-12-12T21:15:00Z,1670879700000,1670880600000,1.22692,1.22713,1.22671,1.227,600
7,2022-12-12T21:30:00Z,1670880600000,1670881500000,1.22701,1.22704,1.22685,1.2269,520
8,2022-12-12T21:45:00Z,1670881500000,1670882400000,1.2269,1.2269,1.22614,1.2262,659
