idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T18:00:00Z,1670868000000,1670868900000,1.22823,1.2285,1.22596,1.22616,3355
2,2022-12-12T18:15:00Z,1670868900000,1670869800000,1.22618,1.22618,1.22525,1.22567,3172
3,2022-12-12T18:30:00Z,1670869800000,1670870700000,1.22566,1.22576,1.2246,1.22516,2482
4,2022-12-12T18:45:00Z,1670870700000,1670871600000,1.22515,1.2259,1.22498,1.225,1940
5,2022-12-12T19:00:00Z,1670871600000,1670872500000,1.225,1.22515,1.2241,1.22437,1949
6,2022-12-12T19:15:00Z,1670872500000,1670873400000,1.22436,1.22554,1.2243,1.22514,1696
7,2022-12-12T19:30:00Z,1670873400000,1670874300000,1.22514,1.22594,1.22479,1.2258,1576
8,2022-12-12T19:45:00Z,1670874300000,1670875200000,1.22576,1.22624,1.22538,1.22578,2056
