anchor_id,domain,symbol,date_ny,run_ids,tool,tool_version,report_path
ANCHOR-A-2026-01-22-LEDGER-LEDGER_TOOL,LEDGER,GBPUSD,2026-01-22,run001,LEDGER_TOOL,1.0.0,reports/path1/evidence/runs/p1_20260122_001/RUN.md
ANCHOR-B-2026-01-22-LEDGER-LEDGER_TOOL,LEDGER,EURUSD,2026-01-22,run002,LEDGER_TOOL,1.0.0,reports/path1/evidence/runs/p1_20260122_002/RUN.md
ANCHOR-C-2026-01-22-LEDGER-LEDGER_TOOL,LEDGER,USDJPY,2026-01-22,run003,LEDGER_TOOL,1.0.0,reports/path1/evidence/runs/p1_20260122_003/RUN.md
