idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T06:00:00Z,1670911200000,1670913000000,1.22816,1.22908,1.22786,1.22854,2719
2,2022-12-13T06:30:00Z,1670913000000,1670914800000,1.22856,1.22886,1.22772,1.22775,3220
3,2022-12-13T07:00:00Z,1670914800000,1670916600000,1.2279,1.23018,1.22777,1.2292,4363
4,2022-12-13T07:30:00Z,1670916600000,1670918400000,1.2292,1.23036,1.22815,1.22844,5363
5,2022-12-13T08:00:00Z,1670918400000,1670920200000,1.22844,1.22908,1.22598,1.22627,5732
6,2022-12-13T08:30:00Z,1670920200000,1670922000000,1.22628,1.22689,1.22487,1.22679,5763
7,2022-12-13T09:00:00Z,1670922000000,1670923800000,1.22678,1.22715,1.22544,1.22672,4796
8,2022-12-13T09:30:00Z,1670923800000,1670925600000,1.22672,1.22837,1.22664,1.22744,6141
