idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T10:00:00Z,1670839200000,1670841000000,1.22747,1.22812,1.22686,1.22754,4332
2,2022-12-12T10:30:00Z,1670841000000,1670842800000,1.22754,1.22962,1.22738,1.22856,3604
3,2022-12-12T11:00:00Z,1670842800000,1670844600000,1.22855,1.22902,1.22782,1.22826,3929
4,2022-12-12T11:30:00Z,1670844600000,1670846400000,1.22826,1.22924,1.22762,1.22766,3807
5,2022-12-12T12:00:00Z,1670846400000,1670848200000,1.22766,1.22896,1.22706,1.22884,3353
6,2022-12-12T12:30:00Z,1670848200000,1670850000000,1.22883,1.22964,1.22786,1.22801,4408
7,2022-12-12T13:00:00Z,1670850000000,1670851800000,1.22803,1.22916,1.22762,1.22896,4467
8,2022-12-12T13:30:00Z,1670851800000,1670853600000,1.22896,1.22988,1.22846,1.2293,3978
