idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T10:00:00Z,1671012000000,1671013800000,1.2394,1.24044,1.23798,1.24008,7224
2,2022-12-14T10:30:00Z,1671013800000,1671015600000,1.24006,1.24012,1.23832,1.23924,5537
3,2022-12-14T11:00:00Z,1671015600000,1671017400000,1.23926,1.24034,1.23754,1.23875,5874
4,2022-12-14T11:30:00Z,1671017400000,1671019200000,1.23874,1.23898,1.23692,1.23734,4350
5,2022-12-14T12:00:00Z,1671019200000,1671021000000,1.23732,1.23886,1.23701,1.23822,4556
6,2022-12-14T12:30:00Z,1671021000000,1671022800000,1.23824,1.23882,1.23582,1.23642,4750
7,2022-12-14T13:00:00Z,1671022800000,1671024600000,1.23644,1.23706,1.23552,1.2356,4174
8,2022-12-14T13:30:00Z,1671024600000,1671026400000,1.2356,1.23798,1.2356,1.23718,5471
