idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T02:00:00Z,1670983200000,1670985000000,1.23517,1.2356,1.2347,1.23516,4051
2,2022-12-14T02:30:00Z,1670985000000,1670986800000,1.2352,1.23529,1.23445,1.23477,3105
3,2022-12-14T03:00:00Z,1670986800000,1670988600000,1.23477,1.23515,1.23471,1.23508,3127
4,2022-12-14T03:30:00Z,1670988600000,1670990400000,1.23502,1.23579,1.23495,1.23527,2914
5,2022-12-14T04:00:00Z,1670990400000,1670992200000,1.23526,1.23566,1.23471,1.23497,2577
6,2022-12-14T04:30:00Z,1670992200000,1670994000000,1.23496,1.23512,1.23435,1.23481,2696
7,2022-12-14T05:00:00Z,1670994000000,1670995800000,1.23477,1.23596,1.23473,1.23581,2925
8,2022-12-14T05:30:00Z,1670995800000,1670997600000,1.23582,1.23595,1.23521,1.2355,3315
