idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T06:00:00Z,1670824800000,1670826600000,1.22271,1.22297,1.22205,1.2224,3037
2,2022-12-12T06:30:00Z,1670826600000,1670828400000,1.22242,1.22376,1.22234,1.2227,3927
3,2022-12-12T07:00:00Z,1670828400000,1670830200000,1.22276,1.2239,1.2207,1.22351,5710
4,2022-12-12T07:30:00Z,1670830200000,1670832000000,1.2235,1.22601,1.22311,1.22571,4727
5,2022-12-12T08:00:00Z,1670832000000,1670833800000,1.22573,1.22573,1.22312,1.22372,5725
6,2022-12-12T08:30:00Z,1670833800000,1670835600000,1.22371,1.22646,1.22371,1.22552,5382
7,2022-12-12T09:00:00Z,1670835600000,1670837400000,1.22554,1.22751,1.2253,1.22618,5727
8,2022-12-12T09:30:00Z,1670837400000,1670839200000,1.2262,1.22781,1.22599,1.22744,5159
