idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T18:00:00Z,1670954400000,1670956200000,1.2367,1.23777,1.23592,1.23744,7067
2,2022-12-13T18:30:00Z,1670956200000,1670958000000,1.23744,1.23792,1.23455,1.23495,6073
3,2022-12-13T19:00:00Z,1670958000000,1670959800000,1.23494,1.23664,1.23481,1.2365,5519
4,2022-12-13T19:30:00Z,1670959800000,1670961600000,1.2365,1.23814,1.23613,1.2373,5732
5,2022-12-13T20:00:00Z,1670961600000,1670963400000,1.2373,1.23767,1.23591,1.23757,6209
6,2022-12-13T20:30:00Z,1670963400000,1670965200000,1.23758,1.23788,1.2359,1.2359,5132
7,2022-12-13T21:00:00Z,1670965200000,1670967000000,1.2359,1.23688,1.2359,1.23623,2298
8,2022-12-13T21:30:00Z,1670967000000,1670968800000,1.23623,1.23681,1.23614,1.23654,1172
