idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T22:00:00Z,1670882400000,1670884200000,1.22688,1.22728,1.22658,1.2267,1289
2,2022-12-12T22:30:00Z,1670884200000,1670886000000,1.22669,1.22678,1.22638,1.22638,225
3,2022-12-12T23:00:00Z,1670886000000,1670887800000,1.22612,1.22702,1.22588,1.22682,947
4,2022-12-12T23:30:00Z,1670887800000,1670889600000,1.22682,1.22724,1.22662,1.22691,1262
5,2022-12-13T00:00:00Z,1670889600000,1670891400000,1.2269,1.22753,1.22631,1.22664,2609
6,2022-12-13T00:30:00Z,1670891400000,1670893200000,1.22666,1.22772,1.22658,1.22754,3808
7,2022-12-13T01:00:00Z,1670893200000,1670895000000,1.22754,1.22782,1.22718,1.22726,4251
8,2022-12-13T01:30:00Z,1670895000000,1670896800000,1.22725,1.22793,1.22674,1.22764,4802
