idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-12T18:00:00Z,1670868000000,1670869800000,1.22823,1.2285,1.22525,1.22567,6527
2,2022-12-12T18:30:00Z,1670869800000,1670871600000,1.22566,1.2259,1.2246,1.225,4422
3,2022-12-12T19:00:00Z,1670871600000,1670873400000,1.225,1.22554,1.2241,1.22514,3645
4,2022-12-12T19:30:00Z,1670873400000,1670875200000,1.22514,1.22624,1.22479,1.22578,3632
5,2022-12-12T20:00:00Z,1670875200000,1670877000000,1.2258,1.22692,1.2257,1.22642,3260
6,2022-12-12T20:30:00Z,1670877000000,1670878800000,1.22642,1.22733,1.22638,1.22712,3017
7,2022-12-12T21:00:00Z,1670878800000,1670880600000,1.22708,1.22731,1.22671,1.227,1341
8,2022-12-12T21:30:00Z,1670880600000,1670882400000,1.22701,1.22704,1.22614,1.2262,1179
