idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T14:00:00Z,1671026400000,1671028200000,1.23716,1.23767,1.23589,1.23664,6421
2,2022-12-14T14:30:00Z,1671028200000,1671030000000,1.23664,1.2391,1.23589,1.2385,8039
3,2022-12-14T15:00:00Z,1671030000000,1671031800000,1.2385,1.24083,1.23786,1.24082,6576
4,2022-12-14T15:30:00Z,1671031800000,1671033600000,1.24082,1.2417,1.23933,1.24031,6442
5,2022-12-14T16:00:00Z,1671033600000,1671035400000,1.24034,1.24221,1.23934,1.24203,5090
6,2022-12-14T16:30:00Z,1671035400000,1671037200000,1.24202,1.24231,1.24068,1.24077,4977
7,2022-12-14T17:00:00Z,1671037200000,1671039000000,1.24077,1.24238,1.24042,1.24179,4322
8,2022-12-14T17:30:00Z,1671039000000,1671040800000,1.24175,1.24222,1.24142,1.2419,4393
