idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T02:00:00Z,1670896800000,1670898600000,1.22764,1.22788,1.22737,1.22765,3874
2,2022-12-13T02:30:00Z,1670898600000,1670900400000,1.22764,1.22908,1.2275,1.22758,2963
3,2022-12-13T03:00:00Z,1670900400000,1670902200000,1.22758,1.2277,1.22629,1.2266,3861
4,2022-12-13T03:30:00Z,1670902200000,1670904000000,1.22658,1.22674,1.22556,1.22592,3795
5,2022-12-13T04:00:00Z,1670904000000,1670905800000,1.22592,1.22604,1.2252,1.22596,2994
6,2022-12-13T04:30:00Z,1670905800000,1670907600000,1.22596,1.22688,1.22574,1.22682,2287
7,2022-12-13T05:00:00Z,1670907600000,1670909400000,1.2268,1.22709,1.2265,1.2269,2513
8,2022-12-13T05:30:00Z,1670909400000,1670911200000,1.2269,1.22825,1.22678,1.22816,3773
