idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T06:00:00Z,1670997600000,1670999400000,1.2355,1.23681,1.23549,1.23642,4123
2,2022-12-14T06:30:00Z,1670999400000,1671001200000,1.23642,1.23748,1.23639,1.23693,3715
3,2022-12-14T07:00:00Z,1671001200000,1671003000000,1.23693,1.23727,1.23491,1.235,6739
4,2022-12-14T07:30:00Z,1671003000000,1671004800000,1.23504,1.2365,1.23425,1.23641,4618
5,2022-12-14T08:00:00Z,1671004800000,1671006600000,1.23642,1.23789,1.23525,1.23654,6601
6,2022-12-14T08:30:00Z,1671006600000,1671008400000,1.23654,1.23816,1.23649,1.2371,5895
7,2022-12-14T09:00:00Z,1671008400000,1671010200000,1.2371,1.23955,1.23664,1.23936,6894
8,2022-12-14T09:30:00Z,1671010200000,1671012000000,1.23934,1.24036,1.23864,1.23936,6455
