idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-14T18:00:00Z,1671040800000,1671042600000,1.2419,1.24304,1.24185,1.24259,3532
2,2022-12-14T18:30:00Z,1671042600000,1671044400000,1.24258,1.24452,1.24254,1.24362,5236
3,2022-12-14T19:00:00Z,1671044400000,1671046200000,1.24362,1.24362,1.23626,1.23825,16341
4,2022-12-14T19:30:00Z,1671046200000,1671048000000,1.23821,1.24116,1.23445,1.24035,19504
5,2022-12-14T20:00:00Z,1671048000000,1671049800000,1.2404,1.24468,1.23976,1.24213,13847
6,2022-12-14T20:30:00Z,1671049800000,1671051600000,1.24212,1.24398,1.24128,1.24232,8908
7,2022-12-14T21:00:00Z,1671051600000,1671053400000,1.24233,1.24348,1.24216,1.2424,2354
8,2022-12-14T21:30:00Z,1671053400000,1671055200000,1.2424,1.24326,1.24232,1.24274,1484
