idx,time_utc,bar_start_ms,bar_close_ms,o,h,l,c,volume
1,2022-12-13T22:00:00Z,1670968800000,1670970600000,1.23681,1.23764,1.2365,1.23734,1164
2,2022-12-13T22:30:00Z,1670970600000,1670972400000,1.2373,1.23732,1.2366,1.23678,1739
3,2022-12-13T23:00:00Z,1670972400000,1670974200000,1.23684,1.23744,1.23541,1.23561,2737
4,2022-12-13T23:30:00Z,1670974200000,1670976000000,1.23562,1.23602,1.23543,1.23546,1749
5,2022-12-14T00:00:00Z,1670976000000,1670977800000,1.23544,1.23578,1.23422,1.23476,4503
6,2022-12-14T00:30:00Z,1670977800000,1670979600000,1.23476,1.23547,1.23421,1.23547,3928
7,2022-12-14T01:00:00Z,1670979600000,1670981400000,1.2355,1.23588,1.2345,1.23464,4401
8,2022-12-14T01:30:00Z,1670981400000,1670983200000,1.23463,1.23552,1.23462,1.23516,5174
